trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
151733020,04:41:00,04:41:00,354,1,"",0,0,0.00,1
152323020,04:41:00,04:41:00,354,1,"",0,0,0.00,1
152323020,04:44:39,04:44:39,505,2,"",0,0,1383.38,0
152320020,04:46:00,04:46:00,354,1,"",0,0,0.00,1
152323020,04:47:24,04:47:24,784,3,"",0,0,3231.25,0
152323020,04:47:39,04:47:39,283,4,"",0,0,3425.34,0
152323020,04:48:00,04:48:00,284,5,"",0,0,3561.91,0
152323020,04:48:45,04:48:45,285,6,"",0,0,3853.10,0
152323020,04:49:03,04:49:03,713,7,"",0,0,3973.84,0
152323020,04:49:18,04:49:18,286,8,"",0,0,4050.98,0
152323020,04:49:33,04:49:33,287,9,"",0,0,4149.98,0
152320020,04:49:39,04:49:39,505,2,"",0,0,1383.38,0
152323020,04:50:00,04:50:00,1351,10,"",0,0,4362.62,1
151733020,04:50:00,04:50:00,1351,2,"",0,0,4247.78,1
152323020,04:50:40,04:50:40,12,11,"",0,0,4593.38,0
152323020,04:51:23,04:51:23,1555,12,"",0,0,4810.12,0
152323020,04:51:35,04:51:35,1579,13,"",0,0,4888.79,0
152323020,04:52:08,04:52:08,1354,14,"",0,0,5130.80,0
152323020,04:52:18,04:52:18,1353,15,"",0,0,5198.31,0
152320020,04:52:24,04:52:24,784,3,"",0,0,3231.25,0
152323020,04:52:37,04:52:37,17,16,"",0,0,5345.75,0
152320020,04:52:39,04:52:39,283,4,"",0,0,3425.34,0
152323020,04:52:56,04:52:56,742,17,"",0,0,5445.30,0
152320020,04:53:00,04:53:00,284,5,"",0,0,3561.91,0
152320020,04:53:45,04:53:45,285,6,"",0,0,3853.10,0
152320020,04:54:03,04:54:03,713,7,"",0,0,3973.84,0
152320020,04:54:18,04:54:18,286,8,"",0,0,4050.98,0
152323020,04:54:27,04:54:27,805,18,"",0,0,5801.94,0
152320020,04:54:33,04:54:33,287,9,"",0,0,4149.98,0
152320020,04:55:00,04:55:00,1351,10,"",0,0,4362.62,1
152320020,04:55:51,04:55:51,12,11,"",0,0,4593.38,0
152320020,04:56:46,04:56:46,1555,12,"",0,0,4810.12,0
152323020,04:56:50,04:56:50,806,19,"",0,0,6496.80,0
152320020,04:57:01,04:57:01,1579,13,"",0,0,4888.79,0
152323020,04:57:33,04:57:33,807,20,"",0,0,6782.05,0
152320020,04:57:43,04:57:43,1354,14,"",0,0,5130.80,0
152323020,04:57:52,04:57:52,1475,21,"",0,0,6905.91,0
152320020,04:57:55,04:57:55,1353,15,"",0,0,5198.31,0
152323020,04:58:02,04:58:02,1474,22,"",0,0,6975.76,0
152320020,04:58:20,04:58:20,17,16,"",0,0,5345.75,0
