trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
149213010,1,1,"ALTON PARK",,0,101,shp-1-04,2,2,101
149214010,1,1,"ALTON PARK",,0,201,shp-1-03,2,2,102
149215010,1,1,"ALTON PARK",,0,101,shp-1-03,2,2,101
149216010,1,1,"ALTON PARK",,0,201,shp-1-03,2,2,102
149217010,1,1,"ALTON PARK",,0,1101,shp-1-03,2,2,152
149218010,1,1,"ALTON PARK",,0,1001,shp-1-03,2,2,151
149219010,1,1,"ALTON PARK",,0,1101,shp-1-03,2,2,152
149220010,1,1,"ALTON PARK",,0,1001,shp-1-03,2,2,151
149221010,1,1,"ALTON PARK",,0,1101,shp-1-03,2,2,152
149222010,1,1,"ALTON PARK",,0,1001,shp-1-03,2,2,151
149223010,1,1,"DOWNTOWN",,1,101,shp-1-66,2,2,101
149224010,1,1,"DOWNTOWN",,1,201,shp-1-66,2,2,102
149225010,1,1,"DOWNTOWN",,1,101,shp-1-66,2,2,101
149226010,1,1,"DOWNTOWN",,1,201,shp-1-65,2,2,102
149227010,1,1,"DOWNTOWN",,1,1101,shp-1-66,2,2,152
149228010,1,1,"DOWNTOWN",,1,1001,shp-1-66,2,2,151
149229010,1,1,"DOWNTOWN",,1,1101,shp-1-66,2,2,152
149230010,1,1,"DOWNTOWN",,1,1001,shp-1-66,2,2,151
149231010,1,1,"DOWNTOWN",,1,1101,shp-1-66,2,2,152
149232010,1,1,"DOWNTOWN",,1,1001,shp-1-65,2,2,151
149317010,10A,1,"AVONDALE",,0,1101,shp-10A-04,2,2,152
149318010,10A,1,"AVONDALE",,0,1101,shp-10A-01,2,2,152
149319010,10A,1,"AVONDALE",,0,1001,shp-10A-01,2,2,151
149320010,10A,1,"AVONDALE",,0,1001,shp-10A-01,2,2,151
149321010,10A,1,"AVONDALE",,0,101,shp-10A-01,2,2,101
149322010,10A,1,"DOWNTOWN",,1,201,shp-10A-52,2,2,102
149323010,10A,1,"Avondale",,1,101,shp-10A-06,2,2,101
149324010,10A,1,"DOWNTOWN",,1,1101,shp-10A-52,2,2,152
149325010,10A,1,"Avondale",,1,1101,shp-10A-06,2,2,152
149326010,10A,1,"DOWNTOWN",,1,201,shp-10A-52,2,2,102
149327010,10A,1,"DOWNTOWN",,1,1001,shp-10A-52,2,2,151
149428010,10G,1,"GLENWOOD",,0,1001,shp-10G-03,2,2,151
149429010,10G,1,"GLENWOOD",,0,101,shp-10G-04,2,2,101
149430010,10G,1,"GLENWOOD",,0,1101,shp-10G-04,2,2,152
149431010,10G,1,"GLENWOOD",,0,1101,shp-10G-04,2,2,152
149432010,10G,1,"GLENWOOD",,0,201,shp-10G-04,2,2,102
149433010,10G,1,"GLENWOOD",,0,201,shp-10G-03,2,2,102
